ID,YEAR,DAY_OF_MONTH,FL_DATE,AIRLINE_ID,CARRIER,FL_NUM,ORIGIN_AIRPORT_ID,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,DEST,DEST_CITY_NAME,DEST_STATE_ABR,DEP_TIME,ARR_TIME,ACTUAL_ELAPSED_TIME,AIR_TIME,DISTANCE,ORIGIN_TIMEZONE_CODE,DEP_TIME_UTC_MS,DEST_TIMEZONE_CODE,ARR_TIME_UTC_MS,Same_Timezone
257478,2012,7,1/7/2012,20304,OO,6222,14771,SFO,San Francisco,CA,ONT,Ontario,CA,2234,111,111,111,363,America/Los_Angeles,1.326E+12,America/Los_Angeles,1.32593E+12,TRUE
486124,2012,7,1/7/2012,20378,YV,2601,11057,CLT,Charlotte,NC,TLH,Tallahassee,FL,2234,111,111,111,386,America/New_York,1.32599E+12,America/New_York,1.32592E+12,TRUE
743611,2012,7,1/7/2012,20304,OO,6222,14771,SFO,San Francisco,CA,ONT,Ontario,CA,2234,111,111,111,363,America/Los_Angeles,1.326E+12,America/Los_Angeles,1.32593E+12,TRUE
972257,2012,7,1/7/2012,20378,YV,2601,11057,CLT,Charlotte,NC,TLH,Tallahassee,FL,2234,111,111,111,386,America/New_York,1.32599E+12,America/New_York,1.32592E+12,TRUE
296092,2012,13,1/13/2012,20304,OO,5618,14771,SFO,San Francisco,CA,ACV,Arcata/Eureka,CA,2231,111,111,111,250,America/Los_Angeles,1.32652E+12,America/Los_Angeles,1.32645E+12,TRUE
782225,2012,13,1/13/2012,20304,OO,5618,14771,SFO,San Francisco,CA,ACV,Arcata/Eureka,CA,2231,111,111,111,250,America/Los_Angeles,1.32652E+12,America/Los_Angeles,1.32645E+12,TRUE
278805,2012,16,1/16/2012,20304,OO,6412,14771,SFO,San Francisco,CA,EUG,Eugene,OR,2229,111,111,111,451,America/Los_Angeles,1.32678E+12,America/Los_Angeles,1.32671E+12,TRUE
764938,2012,16,1/16/2012,20304,OO,6412,14771,SFO,San Francisco,CA,EUG,Eugene,OR,2229,111,111,111,451,America/Los_Angeles,1.32678E+12,America/Los_Angeles,1.32671E+12,TRUE
258163,2012,30,1/30/2012,20304,OO,6451,12892,LAX,Los Angeles,CA,SMX,Santa Maria,CA,2227,111,111,111,134,America/Los_Angeles,1.32799E+12,America/Los_Angeles,1.32791E+12,TRUE
292191,2012,26,1/26/2012,20304,OO,5466,14771,SFO,San Francisco,CA,CIC,Chico,CA,2227,111,111,111,153,America/Los_Angeles,1.32765E+12,America/Los_Angeles,1.32757E+12,TRUE
744296,2012,30,1/30/2012,20304,OO,6451,12892,LAX,Los Angeles,CA,SMX,Santa Maria,CA,2227,111,111,111,134,America/Los_Angeles,1.32799E+12,America/Los_Angeles,1.32791E+12,TRUE
778324,2012,26,1/26/2012,20304,OO,5466,14771,SFO,San Francisco,CA,CIC,Chico,CA,2227,111,111,111,153,America/Los_Angeles,1.32765E+12,America/Los_Angeles,1.32757E+12,TRUE
291328,2012,12,1/12/2012,20304,OO,5427,12892,LAX,Los Angeles,CA,SMX,Santa Maria,CA,2226,111,111,111,134,America/Los_Angeles,1.32644E+12,America/Los_Angeles,1.32636E+12,TRUE
292072,2012,30,1/30/2012,20304,OO,5465,12892,LAX,Los Angeles,CA,CLD,Carlsbad,CA,2226,111,111,111,86,America/Los_Angeles,1.32799E+12,America/Los_Angeles,1.32791E+12,TRUE
777461,2012,12,1/12/2012,20304,OO,5427,12892,LAX,Los Angeles,CA,SMX,Santa Maria,CA,2226,111,111,111,134,America/Los_Angeles,1.32644E+12,America/Los_Angeles,1.32636E+12,TRUE
778205,2012,30,1/30/2012,20304,OO,5465,12892,LAX,Los Angeles,CA,CLD,Carlsbad,CA,2226,111,111,111,86,America/Los_Angeles,1.32799E+12,America/Los_Angeles,1.32791E+12,TRUE
52333,2012,24,1/24/2012,19930,AS,70,12523,JNU,Juneau,AK,SIT,Sitka,AK,2225,111,111,111,95,America/Anchorage,1.32748E+12,America/Anchorage,1.3274E+12,TRUE
74058,2012,1,1/1/2012,19790,DL,1995,14869,SLC,Salt Lake City,UT,SAN,San Diego,CA,2225,111,111,111,626,America/Denver,1.32548E+12,America/Los_Angeles,1.32541E+12,FALSE
